timestep,timestamp_ns,elapsed_s,qpos_left_j1,qpos_left_j2,qpos_left_j3,qpos_left_j4,qpos_left_j5,qpos_left_j6,qpos_left_gripper,qpos_right_j1,qpos_right_j2,qpos_right_j3,qpos_right_j4,qpos_right_j5,qpos_right_j6,qpos_right_gripper,qvel_left_j1,qvel_left_j2,qvel_left_j3,qvel_left_j4,qvel_left_j5,qvel_left_j6,qvel_left_gripper,qvel_right_j1,qvel_right_j2,qvel_right_j3,qvel_right_j4,qvel_right_j5,qvel_right_j6,qvel_right_gripper,action_left_j1,action_left_j2,action_left_j3,action_left_j4,action_left_j5,action_left_j6,action_left_gripper,action_right_j1,action_right_j2,action_right_j3,action_right_j4,action_right_j5,action_right_j6,action_right_gripper
404,2143256196367,13.358776658,0.0,1.376802921295166,-1.3829989433288574,1.1370819807052612,0.06850416958332062,0.014870204962790012,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5366921424865723,-0.6178498268127441,0.0,0.0,-0.0523599348962307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3633290529251099,-1.3989686965942383,1.1389321088790894,0.06850416958332062,0.01202531810849905,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,2143289386187,13.391966478,0.0,1.3633290529251099,-1.3989686965942383,1.1389321088790894,0.06850416958332062,0.01202531810849905,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6736934185028076,-0.798487663269043,0.09250640869140625,0.0,-0.1422443389892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3505008220672607,-1.4147289991378784,1.1381292343139648,0.06850416958332062,0.011501720175147057,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,2143324034648,13.426614939,0.0,1.3505008220672607,-1.4147289991378784,1.1381292343139648,0.06850416958332062,0.011501720175147057,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.641411542892456,-0.7880151271820068,-0.040143728256225586,0.0,-0.026179896667599678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3403429985046387,-1.4301925897598267,1.1381292343139648,0.06850416958332062,0.011746065691113472,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,2143356238076,13.458818367,0.0,1.3403429985046387,-1.4301925897598267,1.1381292343139648,0.06850416958332062,0.011746065691113472,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5078911781311035,-0.7731795310974121,0.0,0.0,0.01221727579832077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3278988599777222,-1.445219874382019,1.1381292343139648,0.06850416958332062,0.007749261800199747,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,2143390134634,13.492714925,0.0,1.3278988599777222,-1.445219874382019,1.1381292343139648,0.06850416958332062,0.007749261800199747,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6222069263458252,-0.7513642311096191,0.0,0.0,-0.19984020292758942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3156640529632568,-1.460072636604309,1.1398919820785522,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,2143423125594,13.525705885,0.0,1.3156640529632568,-1.460072636604309,1.1398919820785522,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6117403507232666,-0.742638111114502,0.08813738822937012,0.0,-0.3874630928039551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3039703369140625,-1.4709285497665405,1.139420747756958,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,2143456220448,13.558800739,0.0,1.3039703369140625,-1.4709285497665405,1.139420747756958,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5846858024597168,-0.5427956581115723,-0.023561716079711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29257333278656,-1.4832855463027954,1.139420747756958,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,2143489591387,13.592171678,0.0,1.29257333278656,-1.4832855463027954,1.139420747756958,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5698502063751221,-0.6178498268127441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2807749509811401,-1.494001865386963,1.139420747756958,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,2143523214428,13.625794719,0.0,1.2807749509811401,-1.494001865386963,1.139420747756958,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5899190902709961,-0.535815954208374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2714025974273682,-1.50121009349823,1.1355984210968018,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,2143556603686,13.659183977,0.0,1.2714025974273682,-1.50121009349823,1.1355984210968018,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46861767768859863,-0.3604114055633545,-0.1911163330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2596564292907715,-1.5102508068084717,1.1325790882110596,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,2143589671327,13.692251618,0.0,1.2596564292907715,-1.5102508068084717,1.1325790882110596,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.587308406829834,-0.45203566551208496,-0.15096664428710938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2472995519638062,-1.5184015035629272,1.1255453824996948,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,2143623281936,13.725862227,0.0,1.2472995519638062,-1.5184015035629272,1.1255453824996948,0.06850416958332062,0.0,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6178438663482666,-0.4075348377227783,-0.3516852855682373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234768033027649,-1.527704119682312,1.1177786588668823,0.06850416958332062,-0.007120943162590265,0.0003000000142492354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
